Bregma	lam0.2	Centroid_X	Centroid_Y
0.26	6	-3107.693055	3702.41972
0.26	1	-3105.028821	3679.128663
0.26	3	-3106.690266	3694.961291
0.26	3	-3099.742348	3747.968302
0.26	1	-3097.768919	3633.259924
0.26	6	-3086.293412	3671.39382
0.26	6	-3082.684879	3657.535568
0.26	4	-3081.302152	3776.266672
0.26	1	-3078.737064	3616.206983
0.26	3	-3077.358027	3597.35709
0.26	1	-3072.693727	3624.0198
0.26	6	-3063.646668	3609.661516
0.26	9	-3056.355049	3728.29644
0.26	4	-3053.37127	3739.957131
0.26	9	-3053.406767	3776.221542
0.26	3	-3051.73918	3671.561442
0.26	1	-3051.317344	3641.966407
0.26	3	-3038.221676	3737.544415
0.26	3	-3036.993186	3691.632178
0.26	2	-3034.912179	3602.096253
0.26	2	-3033.643725	3682.608023
0.26	6	-3209.32967	3743.202124
0.26	3	-3184.623624	3624.313443
0.26	2	-3179.417091	3614.428522
0.26	4	-3144.459125	3645.566254
0.26	3	-3142.475062	3752.828409
0.26	2	-3133.93079	3719.764541
0.26	4	-3128.892853	3700.180809
0.26	6	-3098.232024	3695.849247
0.26	4	-3083.939538	3720.250933
0.26	2	-3066.02536	3719.07054
0.26	4	-3058.514613	3747.047105
0.26	2	-3207.892066	3616.281845
0.26	1	-3205.923317	3652.329509
0.26	4	-3200.12224	3757.431774
0.26	3	-3183.132415	3780.788993
0.26	2	-3183.435639	3764.334869
0.26	3	-3178.745515	3748.387287
0.26	4	-3175.701605	3716.800242
0.26	4	-3157.729598	3752.589628
0.26	1	-3142.822503	3607.751834
0.26	4	-3142.666982	3626.177719
0.26	1	-3114.459566	3624.134328
0.26	1	-3108.966252	3659.244738
0.26	2	-3100.561053	3595.690236
0.26	2	-3033.417657	3728.245747
0.26	4	-3027.513642	3742.618447
0.26	4	-3205.634761	3776.751716
0.26	6	-3075.845364	3648.834265
0.26	6	-3069.164501	3652.567918
0.26	1	-3038.429146	3649.071078
0.26	3	-3208.01848	3932.953424
0.26	8	-3203.325535	3894.298363
0.26	8	-3187.037974	3850.005513
0.26	8	-3179.762719	3980.671858
0.26	8	-3178.636227	3909.264785
0.26	8	-3178.418641	3817.042354
0.26	8	-3177.063984	3857.414975
0.26	3	-3176.75549	3938.05643
0.26	8	-3164.158082	3845.332739
0.26	8	-3162.284872	3868.598496
0.26	8	-3163.707889	3851.861559
0.26	8	-3156.204985	3829.977353
0.26	8	-3149.260616	3816.879869
0.26	8	-3148.515977	3899.637727
0.26	8	-3147.251782	3971.900048
0.26	6	-3141.155772	3875.810806
0.26	8	-3136.952478	3817.650997
0.26	8	-3133.945571	3900.518235
0.26	8	-3107.285779	3865.588962
0.26	6	-3101.329748	3954.84298
0.26	8	-3100.486779	3908.637634
0.26	8	-3098.401931	3899.18499
0.26	8	-3087.516896	3969.934916
0.26	8	-3074.997953	3861.898708
0.26	8	-3072.326098	3832.052275
0.26	8	-3071.316268	3938.467019
0.26	8	-3061.087677	3937.892803
0.26	8	-3060.112339	3834.931018
0.26	8	-3051.127558	3837.629852
0.26	8	-3045.826678	3855.546022
0.26	8	-3027.802335	3912.011061
0.26	8	-3027.866696	3955.112711
0.26	8	-3206.30469	3957.434965
0.26	8	-3201.408222	3864.140726
0.26	8	-3197.273088	3935.974342
0.26	8	-3151.955952	3855.019833
0.26	8	-3132.553843	3947.112142
0.26	8	-3127.947058	3860.54871
0.26	8	-3126.55843	3919.278879
0.26	8	-3115.862252	3948.177487
0.26	8	-3111.831234	3885.270154
0.26	8	-3050.307754	3805.606479
0.26	9	-3134.375984	3956.459959
0.26	8	-3130.403322	3876.964783
0.26	8	-3119.561841	3823.282278
0.26	8	-3117.824086	3870.027627
0.26	8	-3113.564456	3824.602985
0.26	8	-3089.478498	3864.01923
0.26	8	-3068.921052	3811.653107
0.26	6	-3035.365507	3858.921684
0.26	3	-3173.064366	3795.748461
0.26	8	-3057.649771	3866.980742
0.26	8	-3038.592007	3819.562397
0.26	4	-3213.217546	4166.370423
0.26	4	-3207.751603	4131.852934
0.26	8	-3209.569887	4040.231269
0.26	8	-3210.3703	3998.22231
0.26	6	-3207.447769	4070.686359
0.26	2	-3198.042597	4159.43961
0.26	8	-3201.011408	4040.887685
0.26	4	-3198.415581	4176.195219
0.26	9	-3197.244891	4074.253849
0.26	8	-3198.323285	4065.020685
0.26	6	-3183.157874	4041.19848
0.26	8	-3179.143599	4047.83503
0.26	8	-3178.102857	4061.571376
0.26	8	-3179.060627	4015.671264
0.26	3	-3169.327667	4151.487754
0.26	6	-3171.196561	3999.210798
0.26	8	-3173.954889	4019.498871
0.26	8	-3166.552672	3993.811069
0.26	8	-3166.742697	4073.722826
0.26	8	-3164.515975	4105.0688
0.26	4	-3159.58402	4172.625296
0.26	8	-3151.84256	4113.162551
0.26	8	-3141.23484	4146.800014
0.26	8	-3140.237014	4084.439269
0.26	8	-3133.044796	4000.938555
0.26	8	-3130.070832	4149.049651
0.26	8	-3128.804873	4045.118966
0.26	8	-3126.773872	4142.815734
0.26	8	-3127.444387	4091.578362
0.26	8	-3117.023499	4155.255556
0.26	8	-3103.561178	4147.115921
0.26	8	-3091.351265	4159.531114
0.26	8	-3089.453891	4006.432897
0.26	8	-3087.44366	4145.729356
0.26	9	-3083.215006	4095.462286
